x, y, z, yaw
0, -0, 0, 2
0, -0, 0, 4
0, 0, 0, 7
-0.0128673, -0.00036829, 0.0115336, 4
0.000109141, -0.000654979, -0.00195341, 2
0.00601627, 0.00213227, -0.0142887, 7
-0.00998892, -0.000569918, 0.00918499, 4
0.00108028, 0.000909828, 0.00444202, 2
0.00780995, 0.00278, -0.0187294, 7
-0.00708049, -0.000449662, 0.00644871, 4
-6.45297e-05, -0.000406459, -0.00118196, 2
0.00183406, 0.000595801, -0.00468493, 7
-0.00736676, -0.000832805, 0.00700348, 4
0.000890181, 0.000852873, 0.00372561, 2
0.00572392, 0.00106554, -0.0143027, 7
0.00383237, 0.00615299, 0.0238793, 2
-0.0187728, -0.000831727, 0.0170901, 4
0.0105104, 0.00388523, -0.0249092, 7
0.00356444, 0.00446907, 0.0211656, 2
-0.00483421, -0.000943251, 0.00440539, 4
0.00897917, 0.00294397, -0.0206088, 7
0.0190168, -0.000384131, -0.0165289, 4
0.00310543, 0.00305567, 0.0140486, 2
0.0114082, 0.00340843, -0.0266738, 7
0.00385113, 0.00468457, 0.0213606, 2
-0.0107993, -0.000994487, 0.00997182, 4
0.00351904, 0.00126199, -0.00841603, 7
0.000960838, 0.000427501, 0.00366564, 2
0.0102454, -6.87583e-05, -0.00894685, 4
0.00732269, 0.00231273, -0.0172661, 7
0.00502236, -0.000763096, -0.00448559, 4
0.00290602, 0.00356811, 0.0167125, 2
0.00899484, 0.00258723, -0.0215553, 7
0.00548831, -0.000743312, -0.00495023, 4
0.00362842, 0.00401582, 0.0187693, 2
0.0134887, 0.0052857, -0.0328123, 7
0.00252176, 0.003728, 0.0123877, 2
0.00645305, -0.000842168, -0.00578616, 4
0.0136484, 0.0044712, -0.0316088, 7
0.0355536, 0.000653279, -0.0310777, 4
0.00251858, 0.00350692, 0.012235, 2
0.0163763, 0.00523854, -0.0366862, 7
0.00345367, 0.00537725, 0.0189897, 2
0.00614113, -0.000283088, -0.00535411, 4
0.0111828, 0.00321607, -0.0262888, 7
0.00992694, -0.000523412, -0.00860156, 4
0.00146873, 0.00142699, 0.00593705, 2
0.0120149, 0.00389376, -0.0277916, 7
0.0049892, -0.000126853, -0.00424647, 4
0.00124691, 0.00138489, 0.0054993, 2
0.00738311, 0.00270294, -0.0177171, 7
0.000951864, 0.000846152, 0.00312977, 2
0.00822131, -0.000357526, -0.00722137, 4
0.00492957, 0.00155885, -0.0105985, 7
0.00320733, 0.00416069, 0.0178393, 2
-0.0103341, -0.000264163, 0.00948194, 4
-0.00111928, -9.6178e-05, 0.00147039, 7
0.00169675, 0.00199023, 0.00804001, 2
-0.0159371, -0.000284606, 0.0140244, 4
-0.00639702, -0.00152162, 0.0146304, 7
0.00217642, 0.0023972, 0.0102097, 2
0.0161355, -0.000127501, -0.013955, 4
-0.00490857, -0.00105842, 0.0111201, 7
0.0107677, -0.000158262, -0.00946251, 4
0.000887937, 0.000748561, 0.00332905, 2
0.0143405, 0.0058995, -0.0331175, 7
0.00361775, 0.00441006, 0.0181884, 2
-0.00588021, -0.000418468, 0.0054169, 4
0.00595438, 0.00236254, -0.0144091, 7
-0.00762393, -0.000264062, 0.00687561, 4
0.00110033, 0.0010036, 0.00400469, 2
0.000296811, 0.000164528, -0.00101816, 7
0.00223463, 0.00234147, 0.00945712, 2
-0.0113343, -0.000631261, 0.0101003, 4
0.00192618, 0.000796379, -0.00549222, 7
-0.00359508, -0.000165071, 0.00323743, 4
0.00432416, 0.00545744, 0.0246301, 2
0.0045668, 0.00200454, -0.0116251, 7
-0.000666758, -0.000492912, 0.000540886, 4
0.00325114, 0.00379238, 0.0163887, 2
0.00214294, 0.000328704, -0.0030234, 7
0.00197571, 0.00246886, 0.0094625, 2
-0.00137422, -0.000601439, 0.0012552, 4
0.0058393, 0.00190982, -0.0142501, 7
0.0217236, -0.000377513, -0.0191607, 4
0.00268556, 0.00304285, 0.0129095, 2
-0.000223976, -0.000214962, 0.00146477, 7
0.022011, -0.000379478, -0.0196775, 4
0.0010864, 0.00134658, 0.00411735, 2
0.0112923, 0.00409073, -0.026368, 7
0.0220994, -0.000466154, -0.0191224, 4
0.00191068, 0.00212049, 0.00838931, 2
0.00502114, 0.00193519, -0.0123855, 7
0.00121202, 0.0016246, 0.00506798, 2
0.00434223, -0.000634787, -0.00372754, 4
0.0110978, 0.00443049, -0.0260773, 7
0.00125428, 0.0012537, 0.00439519, 2
0.00563733, -0.000798555, -0.00498314, 4
0.00446826, 0.0011366, -0.010737, 7
0.0136032, -0.000492062, -0.0120223, 4
-0.00160009, -0.00205313, -0.00786281, 2
0.00328267, 0.00103357, -0.00812138, 7
0.00205652, -0.000548485, -0.00181263, 4
0.00156844, 0.00154545, 0.00613428, 2
0.0095532, 0.00326139, -0.0221571, 7
0.0019655, 0.00187913, 0.00771333, 2
0.00932057, -0.00077727, -0.00810422, 4
0.00157882, 0.000361413, -0.00383528, 7
0.00586655, -0.000299212, -0.00538172, 4
-0.00286379, -0.00371152, -0.0142414, 2
0.00756205, 0.00310303, -0.0177849, 7
0.00303538, -0.000762332, -0.00269069, 4
0.0016837, 0.00197384, 0.0073103, 2
0.00367088, 0.00138976, -0.00918767, 7
0.00112997, 0.00114268, 0.0045017, 2
0.0219396, 2.10641e-05, -0.0194635, 4
0.00341314, 0.00141351, -0.00828914, 7
0.00178243, 0.00203097, 0.00786063, 2
0.0389979, 0.000727837, -0.0341038, 4
0.00398049, 0.00177646, -0.0100033, 7
0.0300968, 0.00022793, -0.0261888, 4
0.00185307, 0.00251163, 0.00788771, 2
0.00411504, 0.00169222, -0.00929196, 7
0.00211769, 0.00256067, 0.00976753, 2
-0.00549244, -0.000650111, 0.0049431, 4
-0.00390989, -0.00111454, 0.00927295, 7
0.0204497, -0.000633107, -0.0182261, 4
0.00283878, 0.00345501, 0.0141903, 2
0.0058568, 0.00181951, -0.014145, 7
0.00790713, -0.000243387, -0.00706719, 4
0.00321688, 0.00397523, 0.016606, 2
0.00474767, 0.00183184, -0.0127128, 7
0.0178764, -0.00033651, -0.0161296, 4
-0.000383527, -0.000277578, -0.000218673, 2
-0.000577349, -0.000328443, 0.0010671, 7
0.0018658, 0.00225345, 0.00844935, 2
0.0105251, 4.09159e-05, -0.00945246, 4
-0.00303189, -0.000587326, 0.00702649, 7
0.00205082, 0.00255586, 0.00951289, 2
-0.0125725, -0.000915299, 0.011174, 4
0.00399002, 0.00124568, -0.00907928, 7
0.00180153, 0.00212317, 0.00761399, 2
0.0139662, -0.000433611, -0.012338, 4
0.010632, 0.00442658, -0.0252319, 7
0.0020895, 0.00249174, 0.00840322, 2
0.00242178, -0.000678809, -0.00202339, 4
-0.00149808, -0.000795891, 0.00351306, 7
0.00286097, 0.00348371, 0.013124, 2
-0.000603913, -0.000712627, 0.000780876, 4
0.00769888, 0.00287331, -0.0181854, 7
-0.00901726, -0.00078422, 0.00808469, 4
-0.000849537, -0.00108985, -0.00502621, 2
-0.0033871, -0.00101739, 0.00786222, 7
0.00163432, 0.00186605, 0.00674459, 2
0.00146926, -0.00090096, -0.00112324, 4
0.00875775, 0.00334936, -0.020517, 7
0.0124288, -0.00100998, -0.0107656, 4
-0.00196355, -0.00293652, -0.0102893, 2
0.00554927, 0.00225896, -0.0128314, 7
0.00254584, 0.00287658, 0.0116384, 2
0.0045928, -0.00124925, -0.00414945, 4
0.000686101, 0.000130855, -0.00170055, 7
0.0125759, -0.000796141, -0.0111385, 4
0.00120052, 0.00111222, 0.00402099, 2
0.00154233, 0.0010988, -0.00409021, 7
-0.00178516, -0.000603796, 0.00176614, 4
-0.0013787, -0.00189542, -0.00727374, 2
0.00274105, 0.00111586, -0.00716578, 7
0.00111346, 0.00119093, 0.00413862, 2
0.00272285, -0.000884193, -0.00228232, 4
0.00753193, 0.00307089, -0.0194321, 7
0.00236224, 0.00282275, 0.0108204, 2
0.00315602, -0.000628071, -0.00289363, 4
0.00259613, 0.000668633, -0.0063048, 7
0.00247992, 0.00279157, 0.0110361, 2
0.00899914, -0.000227839, -0.00782689, 4
-0.00108984, -2.57422e-05, 0.00216844, 7
0.0150795, -0.000312843, -0.0132033, 4
0.00305686, 0.00349842, 0.0143102, 2
0.0107507, 0.00421507, -0.0261138, 7
-0.00402972, -0.000781992, 0.00346972, 4
0.00242599, 0.00263498, 0.0105268, 2
0.00196486, 0.000856504, -0.00482269, 7
0.00288833, 0.00364191, 0.0140031, 2
-0.00168509, -0.000329252, 0.00374431, 7
0.00351007, 0.0043501, 0.0178724, 2
-0.00210394, -0.000392611, 0.00485387, 7
0.000316663, 0.000349611, 0.00207978, 2
0.0134971, 0.00346675, -0.0312833, 7
0.00476078, 0.00823637, 0.0330766, 2
0.00632663, 0.00183764, -0.0158649, 7
0.00520522, 0.00785345, 0.0312034, 2
-0.00576615, -0.000823567, 0.0132052, 7
0.00490941, 0.0087718, 0.0349303, 2
0.0160426, 0.00564132, -0.0383084, 7
0.00219384, 0.00326327, 0.0105671, 2
0.00440143, 0.00136503, -0.0121524, 7
0.00227048, 0.00372924, 0.0150318, 2
0.00181955, 0.000968376, -0.00541545, 7
0.00585326, 0.00916016, 0.0372297, 2
0.00609722, 0.00226952, -0.0163043, 7
0.00309736, 0.00428359, 0.0146075, 2
0.00106532, 0.000410618, -0.00392647, 7
0.00154833, 0.00151837, 0.00662761, 2
0.00363777, 0.00130179, -0.00940044, 7
0.00089572, 0.00138939, 0.00298594, 2
0.00769595, 0.00284377, -0.0183489, 7
0.00262671, 0.00362426, 0.0117818, 2
0.00565029, 0.00207809, -0.0141016, 7
0.00115694, 0.00108785, 0.00338147, 2
-0.00207545, -0.00037193, 0.00566177, 7
0.00177308, 0.00232888, 0.00794356, 2
0.00385462, 0.00133085, -0.00925501, 7
0.00153989, 0.00175641, 0.00664093, 2
0.00366472, 0.00148918, -0.0095061, 7
0.0453419, 0.00104852, -0.0387832, 4
0.0014691, 0.00188728, 0.00635253, 2
0.00701024, 0.00257954, -0.0166596, 7
0.00283133, 0.00327367, 0.0127333, 2
-0.000833208, 0.000452874, 0.000359696, 4
0.0106305, 0.00346496, -0.0248544, 7
0.000888181, 0.000988552, 0.00311918, 2
0.00179654, 0.000798765, -0.00162239, 4
-0.00146961, 0.000235607, 0.00239167, 7
6.63523e-05, -5.98722e-05, 0.000605083, 2
0.00060516, 0.000645728, -0.000155169, 4
-0.00710089, -0.00145204, 0.0161353, 7
0.000534119, 0.000262858, -0.000170469, 2
-0.0124739, 0.000221, 0.011189, 4
0.00686116, 0.00295604, -0.0177274, 7
-0.00196673, 0.000377445, 0.00192063, 4
0.00391674, 0.00559374, 0.0231105, 2
-0.00172331, -0.000339822, 0.0033788, 7
0.002179, 0.0008605, -0.0017105, 4
0.00141401, 0.00167197, 0.00520457, 2
0.000943606, 0.000813514, -0.00219274, 7
-0.00759541, 0.000391594, 0.00693631, 4
-0.00173544, -0.00228008, -0.0101178, 2
-0.0034648, -0.000518312, 0.00785786, 7
0.0139397, 0.000869497, -0.0120754, 4
0.00215363, 0.00266761, 0.00986664, 2
0.00599804, 0.00288716, -0.0139526, 7
0.000838946, 0.000690974, 0.00241821, 2
0.00494359, 0.000572038, -0.00429107, 4
0.00112394, 0.00127391, -0.00314437, 7
0.00676941, 0.000830986, -0.00628351, 4
0.00545904, 0.00733238, 0.030414, 2
0.00702896, 0.00277361, -0.0162761, 7
0.00504376, 0.00685427, 0.0271982, 2
-0.0019718, 0.000394878, 0.00183532, 4
0.000413578, 0.000272857, -0.00134249, 7
0.0150735, 0.000331706, -0.0132633, 4
0.000386184, -1.95097e-05, 0.000556501, 2
0.0163945, 0.00679674, -0.036763, 7
0.00345888, 0.00040234, -0.00305605, 4
0.000542131, 0.000376708, 0.00115421, 2
0.00932331, 0.00362877, -0.0216573, 7
0.00354252, 0.00395999, 0.0166607, 2
-0.0185372, 0.000250072, 0.016658, 4
0.0108018, 0.00405059, -0.0250604, 7
0.00447937, 0.0064482, 0.0234894, 2
0.0110829, 0.000354667, -0.00962044, 4
0.00399207, 0.00207785, -0.0108308, 7
-0.00794298, 0.000201816, 0.00708671, 4
-0.0032749, -0.00403503, -0.016531, 2
0.0099961, 0.00301336, -0.0232632, 7
0.00335889, 0.00539933, 0.0185407, 2
-0.031475, -0.000219068, 0.0288333, 4
0.00434493, 0.00245648, -0.0105394, 7
-0.000717622, -0.00113587, -0.00536181, 2
-0.0199482, 0.00030334, 0.0181713, 4
0.00203369, 0.00161856, -0.00581116, 7
0.00213829, 0.00222713, 0.00842722, 2
-0.0206183, 0.000258498, 0.0189252, 4
-0.00307838, -0.00013326, 0.00758531, 7
-0.00794062, 0.000562747, 0.00769283, 4
-6.10975e-05, -0.000556065, -0.00271895, 2
-0.00617378, -0.00101964, 0.0148958, 7
-0.0017543, -0.00206191, -0.00862548, 2
-0.0049233, 0.000729106, 0.00418854, 4
0.00133536, 0.000938487, -0.00365889, 7
-0.000424677, 0.000728523, 0.000338226, 4
-2.12716e-07, 0.000749409, -0.000251041, 7
-0.00127223, -0.00143259, -0.007319, 2
0.0062449, 0.000859468, -0.00567255, 4
-0.00227489, -0.00306106, -0.0122176, 2
0.00262713, 0.00146532, -0.00664345, 7
0.00158656, 0.00189985, 0.00710781, 2
-0.00335451, 0.000466692, 0.00300043, 4
