x, y, z, yaw
1.19312, 2.28655, 0.240902, 4
1.44529, 0.220371, 0.295918, 2
1.25574, 0.589274, 0.272549, 7
1.18163, 2.29928, 0.238728, 4
1.44724, 0.219748, 0.296139, 2
1.26988, 0.583033, 0.27501, 7
1.44074, 0.220401, 0.294881, 2
1.18405, 2.29644, 0.238803, 4
1.27422, 0.581232, 0.276209, 7
1.44651, 0.220112, 0.296041, 2
1.18674, 2.29356, 0.239456, 4
1.26035, 0.587344, 0.273387, 7
1.44144, 0.220437, 0.29516, 2
1.18627, 2.29383, 0.238907, 4
1.26984, 0.583205, 0.274257, 7
1.42075, 0.221569, 0.29156, 2
1.17622, 2.30519, 0.237424, 4
1.28043, 0.578527, 0.277124, 7
1.18883, 2.29132, 0.239311, 4
1.42386, 0.221653, 0.291446, 2
1.27617, 0.580156, 0.276193, 7
1.20981, 2.26782, 0.243343, 4
1.43091, 0.220782, 0.292835, 2
1.28217, 0.577668, 0.277025, 7
1.42355, 0.221561, 0.291563, 2
1.18328, 2.29722, 0.238368, 4
1.26401, 0.585577, 0.274197, 7
1.44165, 0.220365, 0.294787, 2
1.2021, 2.27642, 0.242228, 4
1.27279, 0.58166, 0.275415, 7
1.42835, 0.221405, 0.29236, 2
1.19771, 2.28156, 0.240832, 4
1.27699, 0.579919, 0.276169, 7
1.4262, 0.221329, 0.291905, 2
1.19818, 2.28111, 0.241022, 4
1.28822, 0.575135, 0.278149, 7
1.43227, 0.221013, 0.293984, 2
1.19903, 2.28016, 0.240944, 4
1.287, 0.575201, 0.278032, 7
1.43249, 0.220991, 0.293886, 2
1.22443, 2.25157, 0.246048, 4
1.29224, 0.57286, 0.27885, 7
1.42554, 0.22148, 0.292716, 2
1.19851, 2.28047, 0.241522, 4
1.28173, 0.577901, 0.277188, 7
1.20181, 2.27673, 0.241756, 4
1.43912, 0.220475, 0.294726, 2
1.28329, 0.577184, 0.277697, 7
1.19738, 2.28161, 0.241503, 4
1.43959, 0.22055, 0.294832, 2
1.27336, 0.581756, 0.275518, 7
1.20042, 2.27844, 0.241803, 4
1.44197, 0.220222, 0.295328, 2
1.26624, 0.584391, 0.274772, 7
1.42709, 0.221231, 0.292195, 2
1.18368, 2.29675, 0.239015, 4
