x, y, z, yaw
-3.55471, 0.220371, -0.654082, 0
-3.55276, 0.219748, -0.653861, 0
-3.55349, 0.220112, -0.653959, 0
-3.57925, 0.221569, -0.65844, 0
-3.56909, 0.220782, -0.657165, 0
-3.72721, 1.71166, -0.674585, 0
-3.5738, 0.221329, -0.658095, 0
-3.56751, 0.220991, -0.656114, 0
-3.56041, 0.22055, -0.655168, 0
-3.57291, 0.221231, -0.657805, 0
-3.75515, 1.72448, -0.679258, 0
-3.57343, 0.221067, -0.657591, 0
-3.73882, 1.71726, -0.676525, 0
-3.56455, 0.220833, -0.655681, 0
-3.55915, 0.220366, -0.654576, 0
-3.56014, 0.22051, -0.654671, 0
-3.72238, 1.70949, -0.673163, 0
-3.54, 0.219237, -0.651405, 0
-3.73441, 1.71515, -0.675191, 0
-3.56488, 0.220809, -0.655761, 0
-3.73028, 1.71324, -0.675013, 0
-3.73174, 1.7142, -0.675245, 0
-3.56351, 0.220781, -0.655629, 0
-3.56362, 0.220495, -0.655407, 0
-3.54965, 0.219887, -0.652933, 0
-3.54404, 0.219488, -0.652159, 0
-3.55899, 0.220241, -0.654794, 0
-3.56597, 0.220708, -0.656014, 0
-3.56951, 0.220909, -0.656745, 0
-3.74791, 1.72111, -0.678003, 0
-3.72862, 1.71272, -0.674688, 0
-3.70623, 1.70299, -0.670725, 0
-3.73231, 1.71458, -0.675471, 0
-3.72824, 1.71283, -0.674307, 0
-3.72609, 1.71131, -0.674224, 0
-3.73514, 1.71529, -0.675657, 0
-3.72789, 1.71216, -0.673598, 0
-3.55523, 0.220443, -0.654393, 0
-3.74757, 1.72108, -0.678008, 0
-3.75197, 1.72295, -0.678448, 0
-3.72834, 1.71182, -0.673862, 0
-3.55529, 0.220135, -0.654346, 0
-3.57945, 0.221564, -0.658689, 0
-3.72128, 1.70923, -0.672851, 0
-3.56358, 0.220421, -0.655489, 0
-3.74404, 1.71926, -0.676692, 0
-3.55967, 0.220265, -0.654514, 0
-3.55636, 0.220145, -0.653959, 0
-3.56781, 0.220953, -0.65605, 0
-3.56054, 0.220977, -0.655099, 0
-3.73121, 1.71297, -0.674403, 0
-3.74409, 1.71841, -0.676635, 0
-3.53489, 0.218618, -0.64956, 0
-3.54462, 0.219267, -0.651646, 0
-3.55251, 0.219725, -0.652664, 0
-3.73221, 1.7136, -0.673913, 0
-3.54591, 0.219374, -0.652017, 0
-3.72969, 1.71311, -0.674242, 0
-3.73135, 1.71367, -0.674632, 0
-3.72114, 1.70918, -0.673212, 0
-3.7447, 1.72004, -0.677146, 0
-3.75936, 1.72627, -0.679702, 0
-3.55015, 0.219596, -0.652916, 0
-3.56777, 0.221001, -0.656396, 0
-3.73985, 1.71747, -0.676087, 0
-3.73109, 1.71396, -0.67469, 0
-3.56229, 0.220678, -0.655555, 0
-3.72383, 1.70975, -0.67382, 0
-3.56575, 0.220877, -0.65624, 0
-3.72175, 1.70968, -0.673753, 0
-3.5933, 0.222441, -0.66088, 0
-3.57996, 0.221509, -0.658355, 0
-3.56308, 0.220587, -0.655784, 0
-3.56796, 0.220883, -0.656403, 0
-3.55656, 0.220078, -0.654326, 0
-3.58092, 0.2217, -0.658034, 0
-3.73439, 1.71533, -0.675061, 0
-3.53448, 0.2186, -0.649553, 0
-3.74506, 1.71978, -0.676686, 0
-3.73625, 1.71542, -0.674411, 0
-3.74361, 1.71833, -0.675839, 0
-3.74423, 1.71894, -0.676747, 0
-3.5502, 0.219631, -0.652352, 0
-3.72339, 1.7099, -0.673463, 0
-3.53987, 0.219273, -0.650963, 0
-3.54606, 0.219499, -0.652526, 0
-3.57388, 0.221178, -0.656897, 0
-3.58769, 0.22176, -0.659738, 0
-3.7396, 1.71721, -0.676245, 0
-3.7378, 1.71663, -0.675836, 0
-3.54901, 0.219553, -0.652956, 0
-3.71896, 1.7078, -0.672219, 0
-3.73451, 1.71299, -0.673434, 0
-3.74586, 1.73249, -0.684135, 0
-3.59021, 0.265703, -0.675327, 0
-3.5875, 0.310848, -0.680242, 0
-3.70036, 1.83155, -0.702542, 0
-3.572, 0.338147, -0.696868, 0
-3.69828, 1.86165, -0.73166, 0
-3.61903, 1.87568, -0.750673, 0
-3.4893, 0.431339, -0.750551, 0
-3.53507, 1.94967, -0.773526, 0
-3.48697, 0.515862, -0.786334, 0
-3.46839, 2.03607, -0.79453, 0
-3.4307, 2.05152, -0.795608, 0
-3.348, 2.0311, -0.789013, 0
-3.33923, 2.00998, -0.789245, 0
-3.33155, 1.96532, -0.789006, 0
-3.26069, 1.82383, -0.773075, 0
-3.14701, 0.276869, -0.760739, 0
-3.21023, 1.68243, -0.762372, 0
-3.16222, 1.59392, -0.754083, 0
-2.97732, 0.065612, -0.728959, 0
-2.93711, 0.0123644, -0.720398, 0
-3.02822, 1.41853, -0.71966, 0
-3.0105, 1.39957, -0.711873, 0
-2.78414, -0.0871955, -0.682798, 0
-2.89083, 1.38235, -0.677186, 0
-2.69816, -0.0840814, -0.660623, 0
-2.81258, 1.38697, -0.650774, 0
-2.77297, 1.37438, -0.637825, 0
-2.73653, 1.34964, -0.62265, 0
-2.69656, 1.33754, -0.610068, 0
-2.66852, 1.34197, -0.601269, 0
-2.59019, 1.33809, -0.582662, 0
-2.56623, 1.34315, -0.57727, 0
-2.48264, 1.35567, -0.559655, 0
-2.43445, 1.37239, -0.550468, 0
-2.38845, 1.39121, -0.540798, 0
-2.33197, 1.42508, -0.526483, 0
-2.29411, 1.44547, -0.5182, 0
-2.23831, 1.45551, -0.50594, 0
-2.20825, 1.4733, -0.499811, 0
-2.12887, 1.45988, -0.482736, 0
-2.10055, 1.47052, -0.476517, 0
-2.02249, 1.44624, -0.460946, 0
-1.98506, 1.43027, -0.453572, 0
-1.93262, 1.40037, -0.443692, 0
-1.87523, 1.37185, -0.433292, 0
-1.82811, 1.34858, -0.423544, 0
-1.80984, 1.34005, -0.419558, 0
-1.7523, 1.31846, -0.408289, 0
-1.6978, 1.30002, -0.397228, 0
-1.65843, 1.28946, -0.390426, 0
-1.61488, 1.28305, -0.383266, 0
-1.5431, 1.28701, -0.370935, 0
-1.50127, 1.3032, -0.365107, 0
-1.45114, 1.3167, -0.357189, 0
-1.38112, 1.33984, -0.346206, 0
-1.34417, 1.35687, -0.34004, 0
-1.32217, 1.35731, -0.336561, 0
-1.27437, 1.34674, -0.328284, 0
-1.22985, 1.31732, -0.320335, 0
-1.1897, 1.29782, -0.313862, 0
-1.15479, 1.27906, -0.307872, 0
-1.11792, 1.26331, -0.302605, 0
-1.08902, 1.24507, -0.298128, 0
-1.06711, 1.23456, -0.294275, 0
-1.03063, 1.21026, -0.288122, 0
-1.01063, 1.19846, -0.283448, 0
-0.990122, 1.18814, -0.278886, 0
-0.95976, 1.17586, -0.271632, 0
-0.940177, 1.17392, -0.267733, 0
-0.922039, 1.18285, -0.263435, 0
-0.881426, 1.19079, -0.25518, 0
-0.86294, -0.220205, -0.25916, 0
-0.856145, -0.205075, -0.255231, 0
-0.851242, -0.197918, -0.252693, 0
-0.846913, -0.200436, -0.250732, 0
-0.846297, -0.201246, -0.244762, 0
-0.850387, -0.198712, -0.240136, 0
-0.85416, -0.192771, -0.239679, 0
-0.857497, -0.187656, -0.238446, 0
-0.860933, -0.190215, -0.237825, 0
-0.861374, -0.200615, -0.237378, 0
-0.861486, -0.220422, -0.236508, 0
-0.861812, -0.251566, -0.235548, 0
-0.859432, -0.294753, -0.233516, 0
-0.818649, 1.08185, -0.249909, 0
-0.823474, 1.03119, -0.252628, 0
-0.823442, 0.993153, -0.254505, 0
-0.820581, 0.949667, -0.254607, 0
-0.817459, 0.917215, -0.253699, 0
-0.816305, 0.867131, -0.253247, 0
-0.814792, 0.830293, -0.253656, 0
-0.815772, 0.775177, -0.252621, 0
-0.815933, 0.740763, -0.252249, 0
-0.816752, 0.704807, -0.251855, 0
-0.815678, 0.6655, -0.252008, 0
-0.815583, 0.628772, -0.251589, 0
-0.815834, 0.590668, -0.250828, 0
-0.816118, 0.55445, -0.249657, 0
-0.815445, 0.521834, -0.248446, 0
-0.817119, 0.488022, -0.246855, 0
-0.817201, 0.456108, -0.245708, 0
-0.818984, 0.421251, -0.24472, 0
-0.817906, 0.384952, -0.244678, 0
-0.817539, 0.345921, -0.245299, 0
-0.816218, 0.281587, -0.244912, 0
-0.816206, 0.236632, -0.243948, 0
-0.815294, 0.193891, -0.242498, 0
-0.815103, 0.155505, -0.241178, 0
-0.81386, 0.122107, -0.240392, 0
-0.816634, 0.0875394, -0.238986, 0
-0.819096, 0.0545339, -0.237048, 0
-0.82404, 0.0211519, -0.23654, 0
-0.827658, -0.00805568, -0.236248, 0
-0.835386, -0.0351067, -0.235944, 0
-0.842981, -0.0692778, -0.233069, 0
-0.847784, -0.105363, -0.233356, 0
-0.848916, -0.147196, -0.233272, 0
-0.851913, -0.195787, -0.232272, 0
-0.851974, -0.248971, -0.231172, 0
-0.850247, -0.304887, -0.230165, 0
-0.849055, -0.360277, -0.229096, 0
-0.84647, -0.410046, -0.228544, 0
-0.84724, -0.451946, -0.228638, 0
-0.847896, -0.492165, -0.228315, 0
-0.849656, -0.530881, -0.228714, 0
-0.851041, -0.569179, -0.228648, 0
-0.852171, -0.610512, -0.229888, 0
-0.846667, -0.649694, -0.230278, 0
-0.836693, 1.08207, -0.248244, 0
-0.837198, 1.04744, -0.248269, 0
-0.835792, 1.01558, -0.247887, 0
-0.836643, 0.977919, -0.249134, 0
-0.836944, 0.936694, -0.249355, 0
-0.839607, 0.891113, -0.250587, 0
-0.844188, 0.846173, -0.250962, 0
-0.846934, 0.806448, -0.249578, 0
-0.849538, 0.77625, -0.248643, 0
-0.851832, 0.751043, -0.247473, 0
