x, y, z, yaw
-3.55471, 0.220371, -0.654082, 0
-3.74426, 1.71927, -0.677451, 0
-3.80688, 4.33655, -0.709098, 0
-3.73012, 1.71303, -0.67499, 0
-3.81837, 4.34928, -0.711272, 0
-3.55276, 0.219748, -0.653861, 0
-3.81595, 4.34644, -0.711197, 0
-3.72578, 1.71123, -0.673791, 0
-3.55926, 0.220401, -0.655119, 0
-3.55349, 0.220112, -0.653959, 0
-3.73965, 1.71734, -0.676613, 0
-3.81326, 4.34356, -0.710544, 0
-3.55856, 0.220437, -0.65484, 0
-3.73016, 1.71321, -0.675743, 0
-3.81373, 4.34383, -0.711093, 0
-3.71957, 1.70853, -0.672876, 0
-3.82378, 4.35519, -0.712576, 0
-3.57925, 0.221569, -0.65844, 0
-3.72383, 1.71016, -0.673807, 0
-3.81117, 4.34132, -0.710689, 0
-3.57614, 0.221653, -0.658554, 0
-3.56909, 0.220782, -0.657165, 0
-3.71783, 1.70767, -0.672975, 0
-3.79019, 4.31782, -0.706657, 0
-3.73599, 1.71558, -0.675803, 0
-3.81672, 4.34722, -0.711632, 0
-3.57645, 0.221561, -0.658437, 0
-3.55835, 0.220365, -0.655213, 0
-3.72721, 1.71166, -0.674585, 0
-3.7979, 4.32642, -0.707772, 0
-3.72301, 1.70992, -0.673831, 0
-3.80229, 4.33156, -0.709168, 0
-3.57165, 0.221405, -0.65764, 0
-3.5738, 0.221329, -0.658095, 0
-3.71178, 1.70513, -0.671851, 0
-3.80182, 4.33111, -0.708978, 0
-3.713, 1.7052, -0.671968, 0
-3.80097, 4.33016, -0.709056, 0
-3.56773, 0.221013, -0.656016, 0
-3.56751, 0.220991, -0.656114, 0
-3.70776, 1.70286, -0.67115, 0
-3.77557, 4.30157, -0.703952, 0
-3.71827, 1.7079, -0.672812, 0
-3.80149, 4.33047, -0.708478, 0
-3.57446, 0.22148, -0.657284, 0
-3.71671, 1.70718, -0.672303, 0
-3.79819, 4.32673, -0.708244, 0
-3.56088, 0.220475, -0.655274, 0
-3.56041, 0.22055, -0.655168, 0
-3.72664, 1.71176, -0.674482, 0
-3.80262, 4.33161, -0.708497, 0
-3.73376, 1.71439, -0.675228, 0
-3.79958, 4.32844, -0.708197, 0
-3.55803, 0.220222, -0.654672, 0
-3.7457, 1.72043, -0.677597, 0
-3.81632, 4.34675, -0.710985, 0
-3.57291, 0.221231, -0.657805, 0
-3.563, 0.22065, -0.655719, 0
-3.75862, 1.72607, -0.679665, 0
-3.82087, 4.35231, -0.711662, 0
-3.75515, 1.72448, -0.679258, 0
-3.79283, 4.32064, -0.706906, 0
-3.56521, 0.220695, -0.656175, 0
-3.71126, 1.70491, -0.670999, 0
-3.79734, 4.32594, -0.707721, 0
-3.55816, 0.220352, -0.654802, 0
-3.73006, 1.7132, -0.674296, 0
-3.81224, 4.34235, -0.710414, 0
-3.57343, 0.221067, -0.657591, 0
-3.74326, 1.71896, -0.677234, 0
-3.81373, 4.34408, -0.710458, 0
-3.55891, 0.220297, -0.654867, 0
-3.56455, 0.220519, -0.655839, 0
-3.73882, 1.71726, -0.676525, 0
-3.8169, 4.34774, -0.71137, 0
-3.73279, 1.71461, -0.674854, 0
-3.81009, 4.3401, -0.709816, 0
-3.57987, 0.221727, -0.658566, 0
-3.57151, 0.221088, -0.657393, 0
-3.74127, 1.7171, -0.677024, 0
-3.80736, 4.3372, -0.709676, 0
-3.56455, 0.220833, -0.655681, 0
-3.73021, 1.7133, -0.674648, 0
-3.80806, 4.3379, -0.709892, 0
-3.56798, 0.220919, -0.656688, 0
-3.74572, 1.7195, -0.677727, 0
-3.78754, 4.31514, -0.706446, 0
-3.71805, 1.70788, -0.672685, 0
-3.78698, 4.31489, -0.706509, 0
-3.55915, 0.220366, -0.654576, 0
-3.73198, 1.71404, -0.675396, 0
-3.78751, 4.31483, -0.706434, 0
-3.56343, 0.220655, -0.655643, 0
-3.56014, 0.22051, -0.654671, 0
-3.71837, 1.70792, -0.672605, 0
-3.80306, 4.33225, -0.709078, 0
-3.5594, 0.220303, -0.654779, 0
-3.73365, 1.71464, -0.675843, 0
-3.80177, 4.33097, -0.709033, 0
-3.54658, 0.219798, -0.652594, 0
-3.73624, 1.71583, -0.6762, 0
-3.79468, 4.32319, -0.707563, 0
-3.72238, 1.70949, -0.673163, 0
-3.80499, 4.3345, -0.709327, 0
-3.56112, 0.220367, -0.655258, 0
-3.79866, 4.32732, -0.708462, 0
-3.74048, 1.71762, -0.676894, 0
-3.56276, 0.220335, -0.655549, 0
-3.54, 0.219237, -0.651405, 0
-3.72669, 1.71153, -0.67368, 0
-3.80143, 4.33076, -0.708532, 0
-3.56236, 0.220656, -0.65533, 0
-3.73521, 1.71549, -0.675576, 0
-3.80408, 4.33353, -0.70943, 0
-3.55942, 0.220415, -0.65492, 0
-3.73612, 1.71575, -0.675555, 0
-3.78719, 4.31502, -0.706092, 0
-3.73441, 1.71515, -0.675191, 0
-3.77239, 4.29834, -0.703157, 0
-3.5629, 0.22066, -0.655496, 0
-3.73517, 1.71497, -0.675237, 0
-3.78035, 4.30701, -0.705203, 0
-3.56312, 0.220665, -0.655141, 0
-3.81174, 4.34198, -0.710483, 0
-3.75332, 1.72347, -0.679127, 0
-3.56488, 0.220809, -0.655761, 0
-3.73028, 1.71324, -0.675013, 0
-3.78849, 4.31638, -0.706726, 0
-3.56936, 0.221119, -0.656562, 0
-3.5718, 0.221336, -0.657101, 0
-3.73174, 1.7142, -0.675245, 0
-3.79974, 4.32875, -0.708206, 0
-3.55431, 0.220674, -0.654227, 0
-3.74529, 1.71987, -0.677848, 0
-3.79061, 4.31895, -0.706817, 0
-3.56351, 0.220781, -0.655629, 0
-3.75118, 1.72248, -0.678338, 0
